Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0201_0603Metric",38.980000,31.410000,180.000000,bottom
"C2","1uF","C_0201_0603Metric",40.030000,32.890000,90.000000,bottom
"C3","10uF","C_0402_1005Metric",40.870000,33.090000,90.000000,bottom
"C4","1uF","C_0201_0603Metric",37.960000,33.590000,0.000000,bottom
"C5","1uF","C_0201_0603Metric",38.000000,32.510000,0.000000,bottom
"C6","10uF","C_0402_1005Metric",39.190000,33.070000,-90.000000,bottom
"C8","1uF","C_0201_0603Metric",36.500000,34.000000,0.000000,bottom
"C9","1uF","C_0201_0603Metric",36.120000,32.900000,90.000000,bottom
"C11","1uF","C_0201_0603Metric",36.870000,32.900000,90.000000,bottom
"C12","10nF","C_0201_0603Metric",48.280000,27.000000,180.000000,bottom
"C13","0.1uF","C_0201_0603Metric",49.680000,27.000000,0.000000,bottom
"C14","10nF","C_0201_0603Metric",46.850000,27.000000,0.000000,bottom
"C15","0.1uF","C_0201_0603Metric",45.420000,26.950000,180.000000,bottom
"C16","10nF","C_0201_0603Metric",45.750000,34.200000,90.000000,bottom
"C17","0.1uF","C_0201_0603Metric",46.450000,34.200000,90.000000,bottom
"C18","10uF","C_0402_1005Metric",44.900000,34.400000,90.000000,bottom
"C25","0.1uF","C_0201_0603Metric",47.900000,34.100000,90.000000,bottom
"C26","47nF","C_0201_0603Metric",47.200000,34.100000,90.000000,bottom
"C27","1uF","C_0201_0603Metric",43.500000,32.800000,180.000000,bottom
"C29","0.1uF","C_0201_0603Metric",40.600000,34.550000,0.000000,bottom
"C30","10nF","C_0201_0603Metric",43.200000,30.900000,0.000000,bottom
"C31","27pF","C_0201_0603Metric",42.620000,27.360000,90.000000,bottom
"C32","0.1uF","C_0201_0603Metric",42.000000,31.700000,180.000000,bottom
"C33","0.1uF","C_0201_0603Metric",35.650000,28.950000,-90.000000,bottom
"C34","0.1uF","C_0201_0603Metric",35.650000,27.450000,-90.000000,bottom
"C35","0.1uF","C_0201_0603Metric",37.500000,31.400000,0.000000,bottom
"L1","CBC3225T101MR","L_1210_3225Metric",40.600000,36.500000,0.000000,bottom
"L2","ASMPH-0805-4R7M-T","L_0805_2012Metric",44.750000,36.500000,180.000000,bottom
"L3","BLF03RD501GZED","L_0201_0603Metric",43.600000,34.400000,180.000000,bottom
"R3","2k","R_0201_0603Metric",39.100000,34.550000,0.000000,bottom
"R4","2k","R_0201_0603Metric",43.650000,35.200000,0.000000,bottom
"R6","1k","R_0201_0603Metric",49.100000,34.450000,0.000000,bottom
"R7","10k","R_0201_0603Metric",49.100000,33.750000,180.000000,bottom
"R8","10k","R_0201_0603Metric",43.500000,33.600000,0.000000,bottom
"R9","10k","R_0201_0603Metric",43.500000,32.000000,0.000000,bottom
"R16","7.15k","R_0201_0603Metric",41.700000,34.200000,90.000000,bottom
"R17","22","R_0201_0603Metric",43.350000,27.350000,-90.000000,bottom
"U1","NCP163AFCT250T2G","ONSEMI_567JZ_WLCSP4-0.64x0.64",40.110000,31.410000,-90.000000,bottom
"U5","DS90UB933TRTVTQ1","TI_RTV0032A",47.350000,30.500000,0.000000,bottom
"U7","DSC6101MA3B-PROGT","MICROCHIP_VFLGA4-2.0x1.6",43.200000,29.300000,180.000000,bottom
"U8","M24C64-FCS6TP/K","ST_WLCSP5-0.959x1.073",42.000000,32.800000,0.000000,bottom
"U9","BNO055","LGA-28_5.2x3.8mm_P0.5mm",39.100000,28.700000,0.000000,bottom
