Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0201_0603Metric",40.600000,31.600000,0.000000,bottom
"C2","1uF","C_0201_0603Metric",39.100000,31.600000,180.000000,bottom
"C3","10uF","C_0402_1005Metric",38.750000,33.100000,-90.000000,bottom
"C5","1uF","C_0201_0603Metric",37.750000,32.900000,90.000000,bottom
"C6","1uF","C_0201_0603Metric",36.150000,32.900000,90.000000,bottom
"C8","1uF","C_0201_0603Metric",36.900000,32.900000,90.000000,bottom
"C9","10nF","C_0201_0603Metric",48.280000,27.000000,180.000000,bottom
"C10","0.1uF","C_0201_0603Metric",49.680000,27.000000,0.000000,bottom
"C11","10nF","C_0201_0603Metric",46.850000,27.000000,0.000000,bottom
"C12","0.1uF","C_0201_0603Metric",45.420000,26.950000,180.000000,bottom
"C13","10nF","C_0201_0603Metric",45.750000,34.200000,90.000000,bottom
"C14","0.1uF","C_0201_0603Metric",46.450000,34.200000,90.000000,bottom
"C15","10uF","C_0402_1005Metric",44.900000,34.400000,90.000000,bottom
"C22","0.1uF","C_0201_0603Metric",47.900000,34.100000,90.000000,bottom
"C23","47nF","C_0201_0603Metric",47.200000,34.100000,90.000000,bottom
"C24","1uF","C_0201_0603Metric",43.500000,32.800000,180.000000,bottom
"C26","0.1uF","C_0201_0603Metric",40.600000,34.550000,0.000000,bottom
"C27","10nF","C_0201_0603Metric",43.200000,30.900000,0.000000,bottom
"C28","27pF","C_0201_0603Metric",42.620000,27.360000,90.000000,bottom
"C29","0.1uF","C_0201_0603Metric",42.000000,31.700000,180.000000,bottom
"C30","0.1uF","C_0201_0603Metric",35.650000,28.950000,-90.000000,bottom
"C31","0.1uF","C_0201_0603Metric",35.650000,27.450000,-90.000000,bottom
"C32","0.1uF","C_0201_0603Metric",37.500000,31.400000,0.000000,bottom
"L1","CBC3225T101MR","L_1210_3225Metric",40.600000,36.500000,0.000000,bottom
"L2","ASMPH-0805-4R7M-T","L_0805_2012Metric",44.750000,36.500000,180.000000,bottom
"L3","BLF03RD501GZED","L_0201_0603Metric",43.600000,34.400000,180.000000,bottom
"R3","2k","R_0201_0603Metric",39.100000,34.550000,0.000000,bottom
"R4","2k","R_0201_0603Metric",43.650000,35.200000,0.000000,bottom
"R6","1k","R_0201_0603Metric",49.100000,34.450000,0.000000,bottom
"R7","10k","R_0201_0603Metric",49.100000,33.750000,180.000000,bottom
"R8","10k","R_0201_0603Metric",43.500000,33.600000,0.000000,bottom
"R9","10k","R_0201_0603Metric",43.500000,32.000000,0.000000,bottom
"R16","7.15k","R_0201_0603Metric",41.700000,34.200000,90.000000,bottom
"R17","22","R_0201_0603Metric",43.350000,27.350000,-90.000000,bottom
"U1","MIC5335-JGYMT","MICROCHIP_TDFN-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.4mm",40.250000,33.100000,-90.000000,bottom
"U4","DS90UB933TRTVTQ1","TI_RTV0032A",47.350000,30.500000,0.000000,bottom
"U6","DSC6101MA3B-PROGT","MICROCHIP_VFLGA4-2.0x1.6",43.200000,29.300000,180.000000,bottom
"U7","M24C64-FCS6TP/K","ST_WLCSP5-0.959x1.073",42.000000,32.800000,0.000000,bottom
"U8","BNO055","LGA-28_5.2x3.8mm_P0.5mm",39.100000,28.700000,0.000000,bottom
