Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0201_0603Metric",43.400000,34.400000,0.000000,top
"C7","1uF","C_0201_0603Metric",35.400000,34.155000,90.000000,top
"C16","10nF","C_0201_0603Metric",46.350000,32.800000,-90.000000,top
"C17","0.1uF","C_0201_0603Metric",47.050000,32.800000,-90.000000,top
"C18","10uF","C_0402_1005Metric",45.450000,33.000000,-90.000000,top
"C19","10nF","C_0201_0603Metric",48.000000,32.850000,-90.000000,top
"C20","0.1uF","C_0201_0603Metric",48.750000,32.850000,-90.000000,top
"C21","10uF","C_0402_1005Metric",49.300000,34.300000,0.000000,top
"C25","0.1uF","C_0201_0603Metric",39.650000,32.750000,90.000000,top
"D1","SML-P11UTT86R","ROHM_SML-P11MTT86R",49.600000,32.850000,-90.000000,top
"J1","X.FL-R-SMT-1(02)","HIROSE_X.FL-R-SMT-1",43.700000,36.400000,0.000000,top
"J2","FH23-45S-0.3SHW(05)","HIROSE_FH23-45S-0.3SHW(05)",42.600000,28.750000,0.000000,top
"J3","SBH11-PBPC-D05-ST-BK","IDC-Header_2x05_P2.54mm_Vertical",23.080000,48.552500,-90.000000,top
"J5","050700622","MOLEX_5050700622",40.200000,36.500000,0.000000,top
"L4","BLF03RD501GZED","L_0201_0603Metric",47.600000,34.000000,180.000000,top
"R1","1k","R_0201_0603Metric",40.650000,34.800000,0.000000,top
"R2","1k","R_0201_0603Metric",39.100000,34.800000,0.000000,top
"R5","7.15k","R_0201_0603Metric",35.400000,32.755000,90.000000,top
"R10","49.9","R_0201_0603Metric",46.000000,34.400000,180.000000,top
"R11","1k","R_0201_0603Metric",40.800000,32.400000,180.000000,top
"R12","1k","R_0201_0603Metric",41.850000,34.350000,-90.000000,top
"R13","1k","R_0201_0603Metric",41.850000,32.850000,-90.000000,top
"R14","10k","R_0201_0603Metric",38.800000,32.800000,-90.000000,top
"R15","49.9","R_0201_0603Metric",39.100000,33.900000,180.000000,top
"U2","TPS71918-12DRVR","TI_DRV0006A_WSON6-2x2x0.75-1x1.6EP",37.100000,33.400000,90.000000,top
"U3","TPS3839DQN","Texas_X2SON-4_1x1mm_P0.65mm",43.400000,33.100000,90.000000,top
"U5","MAX40111ANT","ANALOG_N60T1+1_WLP6-1.24x0.84x0.5",40.600000,33.600000,90.000000,top
